"","GCI.total.c","GCI.PP.total.c","SexDes.total.a","GMSEX.total.a","SCS.total.a","SCS.total.c","CS.total.a","CS.total.c","BFI.extraversion.c","BFI.agreeable.c","BFI.conscientious.c","BFI.negative.c","BFI.open.c","AnxAttch.c","AvoAttch.c","Narc.c","Gender","d_men","d_women","GCI_1","GCI_2","GCI_3","GCI_4","GCI_5","GCI_6","SCS_1","SCS_2_R","SCS_3","SCS_4_R","SCS_5","SCS_6","BFI_1","BFI_2_R","BFI_3_R","BFI_4","BFI_5","BFI_6","BFI_7_R","BFI_8_R","BFI_9_R","BFI_10_R","BFI_11","BFI_12","GMSEX_1","GMSEX_2","GMSEX_3","GMSEX_4","GMSEX_5","SexDes_1","SexDes_2"
"45",5.04358353510896,-0.0799031476997563,4.5,7,3.16666666666667,2.48910411622276,8.8,6.3002421307506,6.99757869249395,0.903147699757866,3.72881355932203,-11.8111380145278,8.77966101694916,-2.6682808716707,-2.04600484261501,6.4455205811138,1,1,0,4,4,5,5,5,4,3,4,4,1,3,4,4,2,2,2,2,4,5,4,5,4,4,5,7,7,7,7,7,4,5
"46",-1.95641646489104,-2.07990314769976,4,5,1,-10.5108958837772,4.3,-38.6997578692494,3.99757869249395,-13.0968523002421,2.72881355932203,-10.8111380145278,-8.22033898305084,-6.6682808716707,11.953995157385,3.4455205811138,-1,0,1,4,3,3,4,3,3,1,1,1,1,0,2,4,3,3,4,4,3,4,2,4,3,3,3,5,5,5,5,5,4,4
"47",1.04358353510896,-3.07990314769976,1.5,4,2.66666666666667,-0.510895883777241,5.7,-24.6997578692494,-3.00242130750605,-7.09685230024213,0.728813559322035,-7.81113801452784,-4.22033898305084,-0.668280871670703,6.95399515738499,2.4455205811138,1,1,0,4,4,4,4,4,3,3,2,2,3,2,4,2,2,2,3,3,3,4,4,2,3,2,3,3,6,5,2,4,1,2
"48",2.04358353510896,-0.0799031476997563,3.5,5.8,2.5,-1.51089588377724,8,-1.6997578692494,9.99757869249395,1.90314769975787,3.72881355932203,-6.81113801452784,-2.22033898305084,-4.6682808716707,1.95399515738499,2.4455205811138,-1,0,1,4,4,4,4,4,4,3,2,3,2,3,2,4,4,4,4,4,4,4,4,4,3,3,4,6,5,6,6,6,4,3
"49",1.04358353510896,1.92009685230024,5,7,3.16666666666667,2.48910411622276,10.3,21.3002421307506,3.99757869249395,3.90314769975787,2.72881355932203,3.18886198547216,3.77966101694916,-2.6682808716707,-0.0460048426150124,-0.554479418886199,-1,0,1,4,4,4,2,4,5,4,4,4,0,3,4,4,4,2,4,2,2,4,2,4,4,4,4,7,7,7,7,7,5,5
"50",-12.956416464891,2.92009685230024,1.5,6.4,3.5,4.48910411622276,8.8,6.3002421307506,-18.0024213075061,-18.0968523002421,-5.27118644067797,23.1888619854722,-8.22033898305084,4.3317191283293,8.95399515738499,-8.5544794188862,-1,0,1,1,1,2,1,2,2,3,4,4,4,2,4,1,1,1,2,1,1,3,3,2,1,1,1,5,7,7,6,7,2,1
"51",6.04358353510896,0.920096852300244,1.5,5,2.33333333333333,-2.51089588377724,8.6,4.3002421307506,8.99757869249395,2.90314769975787,-0.271186440677965,-7.81113801452784,3.77966101694916,-5.6682808716707,-7.04600484261501,0.445520581113801,-1,0,1,4,4,5,5,5,5,2,2,3,3,2,2,5,2,4,4,4,4,4,3,4,4,3,4,5,5,5,5,5,1,2
"52",4.04358353510896,-6.07990314769976,1,6,1.33333333333333,-8.51089588377724,7.6,-5.6997578692494,-10.0024213075061,7.90314769975787,2.72881355932203,-1.81113801452784,8.77966101694916,9.3317191283293,7.95399515738499,-2.5544794188862,-1,0,1,4,3,4,5,5,5,2,0,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,NA,NA,NA,6,NA,1,1
"53",-0.956416464891042,1.92009685230024,3.5,6,3,1.48910411622276,8.3,1.3002421307506,-0.0024213075060544,-1.09685230024213,3.72881355932203,-3.81113801452784,-5.22033898305084,-1.6682808716707,-6.04600484261501,-2.5544794188862,-1,0,1,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,4,3,2,4,3,2,3,2,4,3,2,4,NA,NA,NA,NA,NA,NA,NA
"54",4.04358353510896,0.920096852300244,4,7,3.16666666666667,2.48910411622276,9.4,12.3002421307506,-1.00242130750605,-9.09685230024213,2.72881355932203,0.188861985472158,-15.2203389830508,-1.6682808716707,-8.04600484261501,-2.5544794188862,-1,0,1,4,4,4,5,4,5,3,1,3,4,4,4,4,3,2,4,3,3,4,2,4,2,2,2,7,7,7,7,7,4,4
